USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           2  0.0  0.0      0     0 ?        S    16:24   0:00 [kthreadd]
root           3  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [rcu_gp]
root           4  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [rcu_par_gp]
root           5  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [slub_flushwq]
root           6  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [netns]
root           7  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/0:0-events]
root           8  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/0:0H-events_highpri]
root           9  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/u256:0-ext4-rsv-conversion]
root          11  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [mm_percpu_wq]
root          12  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [rcu_tasks_rude_]
root          13  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [rcu_tasks_trace]
root          14  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/0]
root          15  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [rcu_sched]
root          16  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/0]
root          17  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/0]
root          19  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/0]
root          20  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/1]
root          21  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/1]
root          22  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/1]
root          23  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/1]
root          25  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/1:0H-events_highpri]
root          26  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/2]
root          27  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/2]
root          28  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/2]
root          29  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/2]
root          31  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/2:0H-events_highpri]
root          32  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/3]
root          33  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/3]
root          34  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/3]
root          35  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/3]
root          37  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/3:0H-events_highpri]
root          38  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/4]
root          39  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/4]
root          40  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/4]
root          41  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/4]
root          42  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/4:0-rcu_par_gp]
root          43  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/4:0H-events_highpri]
root          44  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/5]
root          45  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/5]
root          46  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/5]
root          47  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/5]
root          48  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/5:0-rcu_gp]
root          49  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/5:0H-events_highpri]
root          50  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/6]
root          51  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/6]
root          52  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/6]
root          53  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/6]
root          54  0.0  0.0      0     0 ?        I    16:24   0:00  \_ [kworker/6:0-mm_percpu_wq]
root          55  0.0  0.0      0     0 ?        I<   16:24   0:00  \_ [kworker/6:0H-kblockd]
root          56  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [cpuhp/7]
root          57  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [idle_inject/7]
root          58  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [migration/7]
root          59  0.0  0.0      0     0 ?        S    16:24   0:00  \_ [ksoftirqd/7]
