rat,band,duplex,bw_mhz,scs_khz,ssb_scs_khz,dl_arfcn_or_earfcn,dl_freq_mhz,ssb_arfcn,ssb_gscn,ssb_freq_mhz,status,notes,cfg_snippet
NR,1,FDD,5,15,15,428040,2140.2,427950,5349,2139.75,ok,,"band: 1\ndl_nr_arfcn: 428040\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 427950\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,2,FDD,5,15,15,392040,1960.2,391950,4899,1959.75,ok,,"band: 2\ndl_nr_arfcn: 392040\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 391950\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,3,FDD,5,15,15,368520,1842.6,368430,4605,1842.15,ok,,"band: 3\ndl_nr_arfcn: 368520\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 368430\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,5,FDD,5,15,15,176280,881.4,176190,2202,880.95,ok,,"band: 5\ndl_nr_arfcn: 176280\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 176190\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,7,FDD,5,15,15,531000,2655,530910,6636,2654.55,ok,,"band: 7\ndl_nr_arfcn: 531000\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 530910\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,8,FDD,5,15,15,188520,942.6,188430,2355,942.15,ok,,"band: 8\ndl_nr_arfcn: 188520\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 188430\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,12,FDD,5,15,15,147540,737.7,147630,1845,738.15,ok,,"band: 12\ndl_nr_arfcn: 147540\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 147630\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,13,FDD,5,15,15,150180,750.9,150270,1878,751.35,ok,,"band: 13\ndl_nr_arfcn: 150180\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 150270\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,14,FDD,5,15,15,152580,762.9,152670,1908,763.35,ok,,"band: 14\ndl_nr_arfcn: 152580\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 152670\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,18,FDD,5,15,15,173520,867.6,173550,2169,867.75,ok,,"band: 18\ndl_nr_arfcn: 173520\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 173550\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,20,FDD,5,15,15,161220,806.1,161310,2016,806.55,ok,,"band: 20\ndl_nr_arfcn: 161220\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 161310\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,25,FDD,5,15,15,392520,1962.6,392430,4905,1962.15,ok,,"band: 25\ndl_nr_arfcn: 392520\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 392430\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,26,FDD,5,15,15,175320,876.6,175230,2190,876.15,ok,,"band: 26\ndl_nr_arfcn: 175320\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 175230\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,28,FDD,5,15,15,156120,780.6,156030,1950,780.15,ok,,"band: 28\ndl_nr_arfcn: 156120\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 156030\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,30,FDD,5,15,15,471000,2355,470910,5886,2354.55,ok,,"band: 30\ndl_nr_arfcn: 471000\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 470910\nprach: {\n  prach_config_index: 16,\n  msg1_subcarrier_spacing: 15,\n  ra_response_window: 10,\n}"
NR,34,TDD,5,15,15,403500,2017.5,403470,5043,2017.35,ok,,"band: 34\ndl_nr_arfcn: 403500\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 403470\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,38,TDD,5,15,15,519000,2595,518910,6486,2594.55,ok,,"band: 38\ndl_nr_arfcn: 519000\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 518910\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,39,TDD,5,15,15,379980,1899.9,379950,4749,1899.75,ok,,"band: 39\ndl_nr_arfcn: 379980\nsubcarrier_spacing: 15\nssb_subcarrier_spacing: 15\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 379950\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 10,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 3,\n    dl_symbols: 10,\n    ul_slots: 1,\n    ul_symbols: 2,\n  },\n}"
NR,40,TDD,10,30,30,470040,2350.2,469950,5874,2349.75,ok,,"band: 40\ndl_nr_arfcn: 470040\nsubcarrier_spacing: 30\nssb_subcarrier_spacing: 30\nssb_pos_bitmap: ""1000""\ndmrs_type_a_pos: 2\nssb_nr_arfcn: 469950\nprach: {\n  prach_config_index: 160,\n  msg1_subcarrier_spacing: 30,\n  ra_response_window: 20,\n}\ntdd_ul_dl_config: {\n  pattern1: {\n    period: 5,\n    dl_slots: 7,\n    dl_symbols: 6,\n    ul_slots: 2,\n    ul_symbols: 4,\n  },\n}"
